-27,62,140
48,-17,145
13,-17,145
13,-17,146
1,-46,188
61,-55,193
-22,62,129
-22,63,129
-22,63,129
-23,62,128
-23,63,128
-23,63,128
-23,62,127
-23,63,127
-23,63,127
-22,62,127
-22,63,127
-22,63,127
-21,62,127
-21,63,127
-21,63,127
-21,62,128
-21,63,128
-21,63,128
-27,62,139
-79,-15,42
-27,62,145
-20,62,127
-20,63,127
-20,63,127
-26,62,147
-19,62,128
-19,63,128
-19,63,128
-19,62,129
-19,63,129
-19,63,129
-19,62,125
-19,63,125
-19,63,125
-20,62,125
-20,63,125
-20,63,125
-21,62,125
-21,63,125
-21,63,125
-89,79,192
13,-17,145
-72,21,62
-26,62,138
49,-17,145
-26,62,137
-26,62,148
-23,62,125
-23,63,125
-23,63,125
-19,62,123
-19,63,123
-19,63,123
-19,62,122
-19,63,122
-19,63,122
-20,62,121
-20,63,121
-20,63,121
-20,63,121
-20,64,121
-20,64,121
-20,64,121
-21,62,121
-21,63,121
-21,63,121
-21,62,122
-21,63,122
-21,63,122
70,-9,198
-22,62,123
-22,63,123
-22,63,123
-23,62,122
-23,63,122
-23,63,122
-23,62,121
-23,63,121
-23,63,121
-23,63,121
-22,63,121
-22,63,121
-27,62,133
60,-49,194
-21,62,119
-21,63,119
-21,63,119
-20,62,119
-20,63,119
-20,63,119
-20,62,118
-20,63,118
-83,82,180
-20,63,118
-19,62,118
-19,63,118
-19,63,118
-19,62,117
-19,63,117
-19,63,117
13,-17,146
-21,62,117
-21,63,117
-21,63,117
-22,62,117
-22,63,117
-22,63,117
-22,62,118
-22,63,118
-22,63,118
-26,62,141
-19,62,115
-19,63,115
-19,63,115
-20,62,115
-20,63,115
-20,63,115
-21,62,115
-21,63,115
-21,63,115
-22,62,115
-22,63,115
-22,63,115
-22,62,114
-22,63,114
-22,63,114
-21,62,113
-21,63,113
-21,63,113
-22,62,112
-22,63,112
-22,63,112
-26,62,142
-22,62,111
-22,63,111
-22,63,111
-21,62,111
-21,63,111
-21,63,111
-20,62,111
-20,63,111
-20,63,111
-19,62,111
-19,63,111
-19,63,111
-21,62,109
-21,63,109
-21,63,109
-20,62,108
-20,63,108
-20,63,108
-19,62,108
-19,63,108
-19,63,108
-19,62,107
-19,63,107
-19,63,107
-22,62,108
-22,63,108
-22,63,108
-23,62,108
-23,63,108
-23,63,108
-23,62,107
-23,63,107
-23,63,107
60,-50,192
-20,62,105
-20,63,105
-20,63,105
-21,62,105
-21,63,105
-21,63,105
-22,62,105
-22,63,105
-22,63,105
-85,24,124
-19,62,104
-19,63,104
-19,63,104
-20,62,103
-20,63,103
-20,63,103
-19,62,102
-19,63,102
-19,63,102
-20,62,101
-20,63,101
-20,63,101
-21,62,101
-21,63,101
-21,63,101
-22,62,101
-22,63,101
-22,63,101
-27,62,136
-20,62,99
-20,63,99
-20,63,99
-19,62,98
-19,63,98
-19,63,98
-19,62,97
-19,63,97
-19,63,97
-27,62,141
-20,62,96
-20,63,96
-20,63,96
-21,62,97
-21,63,97
-21,63,97
-22,62,96
-22,63,96
-22,63,96
-23,62,97
-23,63,97
-23,63,97
-26,62,143
-23,62,98
-23,63,98
-23,63,98
-22,62,99
-22,63,99
-22,63,99
-19,62,94
-19,63,94
-19,63,94
-19,62,93
-19,63,93
-19,63,93
-19,62,92
-19,63,92
-19,63,92
-19,62,89
-19,63,89
-19,63,89
-19,62,90
-19,63,90
-19,63,90
-20,62,90
-20,63,90
-20,63,90
-21,62,90
-21,63,90
-21,63,90
-22,62,90
-22,63,90
-22,63,90
-23,62,90
-23,63,90
-23,63,90
-19,62,85
-19,63,85
-19,63,85
-19,62,84
-19,63,84
-19,63,84
-20,62,86
-20,63,86
-20,63,86
-21,62,86
-21,63,86
-21,63,86
-22,62,86
-22,63,86
-22,63,86
-23,62,85
-23,63,85
-23,63,85
-23,62,84
-23,63,84
-23,63,84
-22,62,83
-22,63,83
-22,63,83
-21,62,83
-21,63,83
-21,63,83
-20,62,83
-20,63,83
-20,63,83
-85,24,124
-22,62,81
-22,63,81
-22,63,81
-21,62,81
-21,63,81
-21,63,81
-21,63,81
-20,63,81
-20,63,81
-19,62,80
-19,63,80
-19,63,80
-22,62,79
-22,63,79
-22,63,79
-21,62,79
-21,63,79
-21,63,79
-20,62,79
-20,63,79
-20,63,79
-26,62,134
-83,82,180
-22,62,77
-22,63,77
-22,63,77
-23,62,76
-23,63,76
-23,63,76
-23,62,75
-23,63,75
-23,63,75
-22,62,74
-22,63,74
-22,63,74
-21,62,75
-21,63,75
-21,63,75
-20,62,74
-20,63,74
-20,63,74
-19,62,75
-19,63,75
-19,63,75
